59,000000,44190,9001,0,1889013176,1889003165
59,000037,44186,9001,14126732094414919,1889013176,1889003165
52,000002,9001,44190,14126732094087239,1889013176,1889013176
52,000031,9001,44186,0,1889013176,1889013176
59,001562,9001,44188,0,1889013178,1889004208
59,000005,9001,44192,0,1889013178,1889004168
52,000026,44192,9001,14689682048098386,1889013178,1889013178
59,001000,44188,9001,0,1889013179,1889013178
52,000034,9001,44188,13845257116786770,1889013179,1889013179
59,000568,44192,9001,0,1889013179,1889013178
59,000021,44192,9001,0,1889013220,1889013220
52,000011,9001,44192,14126732094677063,1889013220,1889013220
59,000272,9001,44192,0,1889013221,1889013220
52,043625,44192,9001,15815581954940999,1889013264,1889013221
59,457681,9001,44192,0,1889013722,1889013264
59,459445,9001,44190,0,1889014181,1889013176
59,000283,9001,44186,14408207071125575,1889014182,1889013176
52,042310,44186,9001,14408207070797895,1889014224,1889014182
52,000024,44190,9001,0,1889014224,1889014181
59,000836,9001,44190,0,1889023191,1889014224
52,000036,44190,9001,14689682047836242,1889023191,1889023191
59,000152,9001,44186,0,1889023191,1889014224
52,000028,44186,9001,14689682047508562,1889023191,1889023191
59,000439,44190,9001,0,1889023192,1889023191
59,000712,44186,9001,0,1889023192,1889023191
52,000035,9001,44186,13845257117376594,1889023192,1889023192
59,000194,9001,44192,14408207070208071,1889024196,1889013722
52,000035,44192,9001,14408207071387719,1889024196,1889024196
52,000036,9001,44190,14126732094414919,1889033203,1889033203
59,000067,44186,9001,0,1889033203,1889023192
52,000037,9001,44186,14126732094087239,1889033203,1889033203
59,001752,9001,44188,0,1889033205,1889024236
52,000009,44188,9001,0,1889033205,1889033205
52,000016,44192,9001,0,1889033205,1889033205
59,000834,44188,9001,0,1889033206,1889033205
52,000025,9001,44188,13845257116786770,1889033206,1889033206
59,000448,44192,9001,0,1889033206,1889033205
59,000021,44192,9001,0,1889033248,1889033248
52,000010,9001,44192,14126732094677063,1889033248,1889033248
59,000356,9001,44192,0,1889033248,1889033248
52,043902,44192,9001,15815581954940999,1889033292,1889033248
59,456857,9001,44192,0,1889033749,1889033292
59,459791,9001,44186,0,1889034209,1889033203
59,000158,9001,44190,14408207070797895,1889034209,1889033203
52,042989,44190,9001,14408207071125575,1889034252,1889034209
52,000010,44186,9001,0,1889034252,1889034209
59,000768,9001,44190,0,1889043218,1889034252
52,000026,44190,9001,14689682047836242,1889043218,1889043218
59,000152,9001,44186,0,1889043218,1889034252
52,000033,44186,9001,14689682047508562,1889043218,1889043218
